Kod;Nazwa;imigracja_2005;imigracja_2006;imigracja_2007;imigracja_2008;imigracja_2009;imigracja_2010;imigracja_2011;imigracja_2012;imigracja_2013;imigracja_2014;imigracja_2015;imigracja_2016;imigracja_2017;imigracja_2018;imigracja_2019;imigracja_2020;emigracja_2005;emigracja_2006;emigracja_2007;emigracja_2008;emigracja_2009;emigracja_2010;emigracja_2011;emigracja_2012;emigracja_2013;emigracja_2014;emigracja_2015;emigracja_2016;emigracja_2017;emigracja_2018;emigracja_2019;emigracja_2020;
0202021;Dzierżoniów (1);;;;;;;;;;;;13;17;18;33;;;;;;;;;;;;;56;27;9;21;;
0202033;Pieszyce (3);;;;;;;;;;;;3;2;1;5;;;;;;;;;;;;;13;13;3;12;;
0202034;Pieszyce - miasto (4);;;;;;;;;;;;3;1;1;4;;;;;;;;;;;;;13;10;2;10;;
0202035;Pieszyce - obszar wiejski (5);;;;;;;;;;;;0;1;0;1;;;;;;;;;;;;;0;3;1;2;;
0202041;Piława Górna (1);;;;;;;;;;;;0;2;0;3;;;;;;;;;;;;;3;12;1;7;;
0202052;Dzierżoniów (2);;;;;;;;;;;;6;9;2;6;;;;;;;;;;;;;42;22;21;32;;
0202062;Łagiewniki (2);;;;;;;;;;;;4;0;3;2;;;;;;;;;;;;;8;3;2;2;;
0202073;Niemcza (3);;;;;;;;;;;;0;2;1;1;;;;;;;;;;;;;13;5;1;0;;
0202074;Niemcza - miasto (4);;;;;;;;;;;;0;2;1;1;;;;;;;;;;;;;12;3;0;0;;
0202075;Niemcza - obszar wiejski (5);;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;1;2;1;0;;
0203000;Powiat głogowski;22;14;25;26;33;26;25;20;16;12;0;20;13;19;20;;64;147;72;59;34;16;22;39;40;45;0;10;4;1;4;;
0203011;Głogów (1);;;;;;;;;;;;14;8;16;14;;;;;;;;;;;;;10;4;1;4;;
0203022;Głogów (2);;;;;;;;;;;;1;0;1;1;;;;;;;;;;;;;0;0;0;0;;
0203032;Jerzmanowa (2);;;;;;;;;;;;1;2;1;2;;;;;;;;;;;;;0;0;0;0;;
0203042;Kotla (2);;;;;;;;;;;;2;1;1;0;;;;;;;;;;;;;0;0;0;0;;
0203052;Pęcław (2);;;;;;;;;;;;2;1;0;2;;;;;;;;;;;;;0;0;0;0;;
0203062;Żukowice (2);;;;;;;;;;;;0;1;0;1;;;;;;;;;;;;;0;0;0;0;;
0204000;Powiat górowski;1;4;9;8;10;7;5;6;8;9;0;3;4;7;11;;6;35;21;30;17;10;23;11;37;19;0;15;10;3;4;;
0204013;Góra (3);;;;;;;;;;;;2;2;5;2;;;;;;;;;;;;;12;6;2;3;;
0204014;Góra - miasto (4);;;;;;;;;;;;2;0;3;2;;;;;;;;;;;;;6;3;2;3;;
0204015;Góra - obszar wiejski (5);;;;;;;;;;;;0;2;2;0;;;;;;;;;;;;;6;3;0;0;;
0204022;Jemielno (2);;;;;;;;;;;;0;1;0;0;;;;;;;;;;;;;0;0;0;0;;
0204032;Niechlów (2);;;;;;;;;;;;0;0;0;7;;;;;;;;;;;;;3;3;0;0;;
0204043;Wąsosz (3);;;;;;;;;;;;1;1;2;2;;;;;;;;;;;;;0;1;1;1;;
0204044;Wąsosz - miasto (4);;;;;;;;;;;;0;0;2;1;;;;;;;;;;;;;0;0;0;0;;
0204045;Wąsosz - obszar wiejski (5);;;;;;;;;;;;1;1;0;1;;;;;;;;;;;;;0;1;1;1;;
0205000;Powiat jaworski;7;11;18;17;22;11;12;22;9;9;0;10;17;10;23;;28;70;54;55;33;11;43;24;59;46;0;10;8;9;12;;
0205011;Jawor (1);;;;;;;;;;;;7;8;4;10;;;;;;;;;;;;;2;0;0;0;;
0205023;Bolków (3);;;;;;;;;;;;2;5;3;8;;;;;;;;;;;;;0;0;0;0;;
0205024;Bolków - miasto (4);;;;;;;;;;;;1;1;0;2;;;;;;;;;;;;;0;0;0;0;;
0205025;Bolków - obszar wiejski (5);;;;;;;;;;;;1;4;3;6;;;;;;;;;;;;;0;0;0;0;;
0205032;Męcinka (2);;;;;;;;;;;;0;3;1;3;;;;;;;;;;;;;0;0;0;0;;
0205042;Mściwojów (2);;;;;;;;;;;;1;0;0;1;;;;;;;;;;;;;2;5;2;4;;
0205052;Paszowice (2);;;;;;;;;;;;0;1;1;0;;;;;;;;;;;;;6;3;3;6;;
0205062;Wądroże Wielkie (2);;;;;;;;;;;;0;0;1;1;;;;;;;;;;;;;0;0;4;2;;
0206000;Powiat jeleniogórski;12;38;42;30;30;29;27;40;27;31;0;16;26;36;42;;33;153;120;94;46;33;45;63;105;90;0;19;15;21;30;;
0206011;Karpacz (1);;;;;;;;;;;;1;0;3;3;;;;;;;;;;;;;0;0;0;0;;
0206021;Kowary (1);;;;;;;;;;;;3;4;5;1;;;;;;;;;;;;;10;9;9;22;;
0206031;Piechowice (1);;;;;;;;;;;;0;2;3;6;;;;;;;;;;;;;1;2;0;1;;
0206041;Szklarska Poręba (1);;;;;;;;;;;;3;4;3;15;;;;;;;;;;;;;2;0;2;0;;
0206052;Janowice Wielkie (2);;;;;;;;;;;;1;0;0;0;;;;;;;;;;;;;0;0;2;0;;
0206062;Jeżów Sudecki (2);;;;;;;;;;;;2;2;3;4;;;;;;;;;;;;;0;0;0;0;;
0206072;Mysłakowice (2);;;;;;;;;;;;4;3;8;5;;;;;;;;;;;;;3;4;8;7;;
0206082;Podgórzyn (2);;;;;;;;;;;;2;7;5;6;;;;;;;;;;;;;0;0;0;0;;
0206092;Stara Kamienica (2);;;;;;;;;;;;0;4;6;2;;;;;;;;;;;;;3;0;0;0;;
0207000;Powiat kamiennogórski;12;11;28;24;20;22;24;23;21;9;0;21;28;23;16;;31;117;78;153;63;40;53;68;86;76;0;35;24;25;13;;
0207011;Kamienna Góra (1);;;;;;;;;;;;6;18;11;11;;;;;;;;;;;;;32;10;21;6;;
0207022;Kamienna Góra (2);;;;;;;;;;;;5;2;5;4;;;;;;;;;;;;;0;6;2;1;;
0207033;Lubawka (3);;;;;;;;;;;;6;3;4;0;;;;;;;;;;;;;0;0;0;0;;
0207034;Lubawka - miasto (4);;;;;;;;;;;;3;2;2;0;;;;;;;;;;;;;0;0;0;0;;
0207035;Lubawka - obszar wiejski (5);;;;;;;;;;;;3;1;2;0;;;;;;;;;;;;;0;0;0;0;;
0207042;Marciszów (2);;;;;;;;;;;;4;5;3;1;;;;;;;;;;;;;3;8;2;6;;
0208000;Powiat kłodzki;24;61;101;75;85;79;85;69;53;41;0;52;66;74;75;;100;382;264;244;202;173;134;168;253;188;0;118;122;143;136;;
0208011;Duszniki-Zdrój (1);;;;;;;;;;;;1;1;4;2;;;;;;;;;;;;;0;2;0;0;;
0208021;Kłodzko (1);;;;;;;;;;;;9;6;5;4;;;;;;;;;;;;;9;0;1;1;;
0208031;Kudowa-Zdrój (1);;;;;;;;;;;;2;9;1;6;;;;;;;;;;;;;7;25;12;5;;
0208041;Nowa Ruda (1);;;;;;;;;;;;3;9;8;11;;;;;;;;;;;;;22;9;19;26;;
0208051;Polanica-Zdrój (1);;;;;;;;;;;;2;2;3;5;;;;;;;;;;;;;6;3;2;1;;
0208063;Bystrzyca Kłodzka (3);;;;;;;;;;;;1;4;6;8;;;;;;;;;;;;;18;43;21;36;;
0208064;Bystrzyca Kłodzka - miasto (4);;;;;;;;;;;;1;0;3;3;;;;;;;;;;;;;9;34;14;26;;
0208065;Bystrzyca Kłodzka - obszar wiejski (5);;;;;;;;;;;;0;4;3;5;;;;;;;;;;;;;9;9;7;10;;
0208072;Kłodzko (2);;;;;;;;;;;;6;12;19;18;;;;;;;;;;;;;31;18;40;40;;
0208083;Lądek-Zdrój (3);;;;;;;;;;;;7;4;0;4;;;;;;;;;;;;;0;1;4;1;;
0208084;Lądek-Zdrój - miasto (4);;;;;;;;;;;;4;3;0;0;;;;;;;;;;;;;0;1;2;1;;
0208085;Lądek-Zdrój - obszar wiejski (5);;;;;;;;;;;;3;1;0;4;;;;;;;;;;;;;0;0;2;0;;
0208092;Lewin Kłodzki (2);;;;;;;;;;;;4;4;3;0;;;;;;;;;;;;;0;0;0;0;;
0208103;Międzylesie (3);;;;;;;;;;;;1;5;1;2;;;;;;;;;;;;;6;11;9;4;;
0208104;Międzylesie - miasto (4);;;;;;;;;;;;0;0;0;1;;;;;;;;;;;;;4;0;5;1;;
0208105;Międzylesie - obszar wiejski (5);;;;;;;;;;;;1;5;1;1;;;;;;;;;;;;;2;11;4;3;;
0208112;Nowa Ruda (2);;;;;;;;;;;;9;3;17;8;;;;;;;;;;;;;10;9;30;20;;
0208123;Radków (3);;;;;;;;;;;;4;1;3;6;;;;;;;;;;;;;8;1;2;0;;
0208124;Radków - miasto (4);;;;;;;;;;;;2;0;2;2;;;;;;;;;;;;;4;0;0;0;;
0208125;Radków - obszar wiejski (5);;;;;;;;;;;;2;1;1;4;;;;;;;;;;;;;4;1;2;0;;
0208133;Stronie Śląskie (3);;;;;;;;;;;;3;3;1;1;;;;;;;;;;;;;1;0;2;2;;
0208134;Stronie Śląskie - miasto (4);;;;;;;;;;;;0;2;1;1;;;;;;;;;;;;;1;0;2;1;;
0208135;Stronie Śląskie - obszar wiejski (5);;;;;;;;;;;;3;1;0;0;;;;;;;;;;;;;0;0;0;1;;
0208143;Szczytna (3);;;;;;;;;;;;0;3;3;0;;;;;;;;;;;;;0;0;1;0;;
0208144;Szczytna - miasto (4);;;;;;;;;;;;0;2;1;0;;;;;;;;;;;;;0;0;0;0;;
0208145;Szczytna - obszar wiejski (5);;;;;;;;;;;;0;1;2;0;;;;;;;;;;;;;0;0;1;0;;
0209000;Powiat legnicki;5;12;20;15;11;9;10;16;11;13;0;18;18;13;33;;16;64;50;31;36;28;42;45;44;36;0;19;44;50;39;;
0209011;Chojnów (1);;;;;;;;;;;;4;8;2;7;;;;;;;;;;;;;14;34;42;36;;
0209022;Chojnów (2);;;;;;;;;;;;4;0;1;2;;;;;;;;;;;;;0;0;0;1;;
0209032;Krotoszyce (2);;;;;;;;;;;;0;1;0;1;;;;;;;;;;;;;0;0;3;0;;
0209042;Kunice (2);;;;;;;;;;;;2;1;1;6;;;;;;;;;;;;;1;7;1;0;;
0209052;Legnickie Pole (2);;;;;;;;;;;;3;0;0;2;;;;;;;;;;;;;2;0;1;0;;
0209062;Miłkowice (2);;;;;;;;;;;;1;3;1;11;;;;;;;;;;;;;0;1;0;0;;
0209073;Prochowice (3);;;;;;;;;;;;2;4;6;4;;;;;;;;;;;;;2;2;1;2;;
0209074;Prochowice - miasto (4);;;;;;;;;;;;1;2;3;1;;;;;;;;;;;;;1;1;0;0;;
0209075;Prochowice - obszar wiejski (5);;;;;;;;;;;;1;2;3;3;;;;;;;;;;;;;1;1;1;2;;
0209082;Ruja (2);;;;;;;;;;;;2;1;2;0;;;;;;;;;;;;;0;0;2;0;;
0210000;Powiat lubański;7;15;22;14;27;15;32;18;17;19;0;11;30;33;21;;34;83;80;63;81;59;55;63;85;69;0;17;3;1;0;;
0210011;Lubań (1);;;;;;;;;;;;7;10;12;11;;;;;;;;;;;;;0;1;1;0;;
0210021;Świeradów-Zdrój (1);;;;;;;;;;;;1;6;4;1;;;;;;;;;;;;;0;0;0;0;;
0210033;Leśna (3);;;;;;;;;;;;2;4;6;3;;;;;;;;;;;;;0;0;0;0;;
0210034;Leśna - miasto (4);;;;;;;;;;;;0;2;0;1;;;;;;;;;;;;;0;0;0;0;;
0210035;Leśna - obszar wiejski (5);;;;;;;;;;;;2;2;6;2;;;;;;;;;;;;;0;0;0;0;;
0210042;Lubań (2);;;;;;;;;;;;0;3;2;1;;;;;;;;;;;;;0;0;0;0;;
0210053;Olszyna (3);;;;;;;;;;;;0;4;1;3;;;;;;;;;;;;;1;0;0;0;;
0210054;Olszyna - miasto (4);;;;;;;;;;;;0;1;1;2;;;;;;;;;;;;;0;0;0;0;;
0210055;Olszyna - obszar wiejski (5);;;;;;;;;;;;0;3;0;1;;;;;;;;;;;;;1;0;0;0;;
0210062;Platerówka (2);;;;;;;;;;;;0;2;3;1;;;;;;;;;;;;;0;0;0;0;;
0210072;Siekierczyn (2);;;;;;;;;;;;1;1;5;1;;;;;;;;;;;;;16;2;0;0;;
0211000;Powiat lubiński;14;18;40;39;39;44;35;29;24;13;0;37;19;30;39;;87;145;104;115;66;86;108;77;111;108;0;16;28;19;16;;
0211011;Lubin (1);;;;;;;;;;;;30;16;13;30;;;;;;;;;;;;;11;9;5;5;;
0211022;Lubin (2);;;;;;;;;;;;4;2;14;5;;;;;;;;;;;;;4;19;14;11;;
0211032;Rudna (2);;;;;;;;;;;;3;0;3;2;;;;;;;;;;;;;0;0;0;0;;
0211043;Ścinawa (3);;;;;;;;;;;;0;1;0;2;;;;;;;;;;;;;1;0;0;0;;
0211044;Ścinawa - miasto (4);;;;;;;;;;;;0;0;0;1;;;;;;;;;;;;;0;0;0;0;;
0211045;Ścinawa - obszar wiejski (5);;;;;;;;;;;;0;1;0;1;;;;;;;;;;;;;1;0;0;0;;
0212000;Powiat lwówecki;10;19;23;20;21;21;10;18;14;13;0;24;20;28;22;;26;102;80;67;54;40;54;57;83;58;0;11;12;16;3;;
0212013;Gryfów Śląski (3);;;;;;;;;;;;0;1;5;3;;;;;;;;;;;;;0;7;0;0;;
0212014;Gryfów Śląski - miasto (4);;;;;;;;;;;;0;1;4;3;;;;;;;;;;;;;0;3;0;0;;
0212015;Gryfów Śląski - obszar wiejski (5);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;4;0;0;;
0212023;Lubomierz (3);;;;;;;;;;;;3;6;4;0;;;;;;;;;;;;;1;0;9;0;;
0212024;Lubomierz - miasto (4);;;;;;;;;;;;0;5;1;0;;;;;;;;;;;;;0;0;6;0;;
0212025;Lubomierz - obszar wiejski (5);;;;;;;;;;;;3;1;3;0;;;;;;;;;;;;;1;0;3;0;;
0212033;Lwówek Śląski (3);;;;;;;;;;;;4;5;5;11;;;;;;;;;;;;;8;1;6;0;;
0212034;Lwówek Śląski - miasto (4);;;;;;;;;;;;2;2;3;4;;;;;;;;;;;;;6;1;2;0;;
0212035;Lwówek Śląski - obszar wiejski (5);;;;;;;;;;;;2;3;2;7;;;;;;;;;;;;;2;0;4;0;;
0212043;Mirsk (3);;;;;;;;;;;;12;0;5;5;;;;;;;;;;;;;0;0;0;0;;
0212044;Mirsk - miasto (4);;;;;;;;;;;;2;0;1;2;;;;;;;;;;;;;0;0;0;0;;
0212045;Mirsk - obszar wiejski (5);;;;;;;;;;;;10;0;4;3;;;;;;;;;;;;;0;0;0;0;;
0212053;Wleń (3);;;;;;;;;;;;5;8;9;3;;;;;;;;;;;;;2;4;1;3;;
0212054;Wleń - miasto (4);;;;;;;;;;;;2;2;3;1;;;;;;;;;;;;;1;3;0;1;;
0212055;Wleń - obszar wiejski (5);;;;;;;;;;;;3;6;6;2;;;;;;;;;;;;;1;1;1;2;;
0213000;Powiat milicki;4;13;33;24;36;20;20;21;5;5;0;7;11;7;19;;8;157;73;35;22;13;18;31;31;33;0;7;21;29;28;;
0213012;Cieszków (2);;;;;;;;;;;;2;0;2;3;;;;;;;;;;;;;0;0;0;0;;
0213022;Krośnice (2);;;;;;;;;;;;1;1;0;3;;;;;;;;;;;;;0;0;0;0;;
0213033;Milicz (3);;;;;;;;;;;;4;10;5;13;;;;;;;;;;;;;7;21;29;28;;
0213034;Milicz - miasto (4);;;;;;;;;;;;2;2;1;6;;;;;;;;;;;;;3;10;15;16;;
0213035;Milicz - obszar wiejski (5);;;;;;;;;;;;2;8;4;7;;;;;;;;;;;;;4;11;14;12;;
0214000;Powiat oleśnicki;29;38;58;40;62;48;43;57;27;39;0;27;27;35;47;;44;237;131;99;44;63;63;21;82;71;0;14;21;33;14;;
0214011;Oleśnica (1);;;;;;;;;;;;15;10;8;22;;;;;;;;;;;;;6;0;7;6;;
0214023;Bierutów (3);;;;;;;;;;;;3;0;4;2;;;;;;;;;;;;;3;3;7;3;;
0214024;Bierutów - miasto (4);;;;;;;;;;;;3;0;3;0;;;;;;;;;;;;;1;2;4;1;;
0214025;Bierutów - obszar wiejski (5);;;;;;;;;;;;0;0;1;2;;;;;;;;;;;;;2;1;3;2;;
0214032;Dobroszyce (2);;;;;;;;;;;;0;0;11;3;;;;;;;;;;;;;2;1;0;0;;
0214042;Dziadowa Kłoda (2);;;;;;;;;;;;2;3;0;1;;;;;;;;;;;;;2;7;8;2;;
0214053;Międzybórz (3);;;;;;;;;;;;0;1;0;0;;;;;;;;;;;;;0;2;5;0;;
0214054;Międzybórz - miasto (4);;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;0;4;0;;
0214055;Międzybórz - obszar wiejski (5);;;;;;;;;;;;0;1;0;0;;;;;;;;;;;;;0;2;1;0;;
0214062;Oleśnica (2);;;;;;;;;;;;4;8;4;5;;;;;;;;;;;;;1;4;6;3;;
0214073;Syców (3);;;;;;;;;;;;2;3;4;10;;;;;;;;;;;;;0;4;0;0;;
0214074;Syców - miasto (4);;;;;;;;;;;;1;2;3;2;;;;;;;;;;;;;0;4;0;0;;
0214075;Syców - obszar wiejski (5);;;;;;;;;;;;1;1;1;8;;;;;;;;;;;;;0;0;0;0;;
0214083;Twardogóra (3);;;;;;;;;;;;1;2;4;4;;;;;;;;;;;;;0;0;0;0;;
0214084;Twardogóra - miasto (4);;;;;;;;;;;;0;2;2;3;;;;;;;;;;;;;0;0;0;0;;
0214085;Twardogóra - obszar wiejski (5);;;;;;;;;;;;1;0;2;1;;;;;;;;;;;;;0;0;0;0;;
0215000;Powiat oławski;6;28;45;50;59;47;63;33;32;19;0;29;22;49;37;;111;246;112;113;48;42;68;74;140;116;0;12;8;3;12;;
0215011;Oława (1);;;;;;;;;;;;18;7;20;18;;;;;;;;;;;;;2;1;0;7;;
0215022;Domaniów (2);;;;;;;;;;;;1;1;0;0;;;;;;;;;;;;;0;0;0;0;;
0215033;Jelcz-Laskowice (3);;;;;;;;;;;;7;9;19;13;;;;;;;;;;;;;0;5;3;2;;
0215034;Jelcz-Laskowice - miasto (4);;;;;;;;;;;;5;4;14;10;;;;;;;;;;;;;0;5;1;2;;
0215035;Jelcz-Laskowice - obszar wiejski (5);;;;;;;;;;;;2;5;5;3;;;;;;;;;;;;;0;0;2;0;;
0215042;Oława (2);;;;;;;;;;;;3;5;10;6;;;;;;;;;;;;;10;2;0;3;;
0216000;Powiat polkowicki;10;21;32;21;10;18;17;16;10;19;0;7;8;9;19;;11;92;64;61;37;24;26;20;45;45;0;11;1;1;1;;
0216013;Chocianów (3);;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;2;0;0;0;;
0216014;Chocianów - miasto (4);;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;2;0;0;0;;
0216022;Gaworzyce (2);;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;1;0;0;;
0216032;Grębocice (2);;;;;;;;;;;;0;0;0;3;;;;;;;;;;;;;3;0;0;0;;
0216043;Polkowice (3);;;;;;;;;;;;3;7;8;4;;;;;;;;;;;;;5;0;1;1;;
0216044;Polkowice - miasto (4);;;;;;;;;;;;3;4;5;3;;;;;;;;;;;;;5;0;0;1;;
0216045;Polkowice - obszar wiejski (5);;;;;;;;;;;;0;3;3;1;;;;;;;;;;;;;0;0;1;0;;
0216053;Przemków (3);;;;;;;;;;;;2;1;0;3;;;;;;;;;;;;;1;0;0;0;;
0216054;Przemków - miasto (4);;;;;;;;;;;;2;1;0;2;;;;;;;;;;;;;1;0;0;0;;
0216055;Przemków - obszar wiejski (5);;;;;;;;;;;;0;0;0;1;;;;;;;;;;;;;0;0;0;0;;
0216062;Radwanice (2);;;;;;;;;;;;2;0;0;9;;;;;;;;;;;;;0;0;0;0;;
0217000;Powiat strzeliński;10;14;25;23;14;9;14;9;8;10;0;8;19;10;10;;5;66;48;32;20;43;9;17;42;27;0;6;0;6;3;;
0217012;Borów (2);;;;;;;;;;;;0;3;1;2;;;;;;;;;;;;;0;0;0;0;;
0217022;Kondratowice (2);;;;;;;;;;;;0;0;5;0;;;;;;;;;;;;;0;0;0;0;;
0217032;Przeworno (2);;;;;;;;;;;;2;0;0;0;;;;;;;;;;;;;0;0;0;3;;
0217043;Strzelin (3);;;;;;;;;;;;5;10;2;8;;;;;;;;;;;;;3;0;6;0;;
0217044;Strzelin - miasto (4);;;;;;;;;;;;2;9;1;5;;;;;;;;;;;;;1;0;4;0;;
0217045;Strzelin - obszar wiejski (5);;;;;;;;;;;;3;1;1;3;;;;;;;;;;;;;2;0;2;0;;
0217053;Wiązów (3);;;;;;;;;;;;1;6;2;0;;;;;;;;;;;;;3;0;0;0;;
0217054;Wiązów - miasto (4);;;;;;;;;;;;0;0;2;0;;;;;;;;;;;;;1;0;0;0;;
0217055;Wiązów - obszar wiejski (5);;;;;;;;;;;;1;6;0;0;;;;;;;;;;;;;2;0;0;0;;
0218000;Powiat średzki;8;21;19;19;26;13;12;10;13;15;0;9;20;31;25;;9;88;39;41;20;18;26;14;31;27;0;20;3;5;9;;
0218012;Kostomłoty (2);;;;;;;;;;;;4;1;1;3;;;;;;;;;;;;;1;3;5;1;;
0218022;Malczyce (2);;;;;;;;;;;;1;2;0;1;;;;;;;;;;;;;0;0;0;0;;
0218032;Miękinia (2);;;;;;;;;;;;2;9;21;12;;;;;;;;;;;;;3;0;0;1;;
0218043;Środa Śląska (3);;;;;;;;;;;;1;7;9;7;;;;;;;;;;;;;13;0;0;1;;
0218044;Środa Śląska - miasto (4);;;;;;;;;;;;1;3;5;3;;;;;;;;;;;;;9;0;0;0;;
0218045;Środa Śląska - obszar wiejski (5);;;;;;;;;;;;0;4;4;4;;;;;;;;;;;;;4;0;0;1;;
0218052;Udanin (2);;;;;;;;;;;;1;1;0;2;;;;;;;;;;;;;3;0;0;6;;
0219000;Powiat świdnicki;14;51;94;116;114;83;89;75;71;56;0;37;41;67;91;;163;306;267;226;172;131;163;173;306;275;0;121;162;175;119;;
0219011;Świdnica (1);;;;;;;;;;;;18;15;24;35;;;;;;;;;;;;;28;74;55;33;;
0219021;Świebodzice (1);;;;;;;;;;;;5;5;17;22;;;;;;;;;;;;;18;11;33;31;;
0219032;Dobromierz (2);;;;;;;;;;;;2;2;2;2;;;;;;;;;;;;;1;0;0;0;;
0219043;Jaworzyna Śląska (3);;;;;;;;;;;;1;1;1;6;;;;;;;;;;;;;4;2;1;2;;
0219044;Jaworzyna Śląska - miasto (4);;;;;;;;;;;;1;1;1;3;;;;;;;;;;;;;2;1;1;0;;
0219045;Jaworzyna Śląska - obszar wiejski (5);;;;;;;;;;;;0;0;0;3;;;;;;;;;;;;;2;1;0;2;;
0219052;Marcinowice (2);;;;;;;;;;;;3;6;5;6;;;;;;;;;;;;;8;7;8;2;;
0219063;Strzegom (3);;;;;;;;;;;;6;8;9;7;;;;;;;;;;;;;50;49;44;35;;
0219064;Strzegom - miasto (4);;;;;;;;;;;;4;8;5;4;;;;;;;;;;;;;30;30;28;24;;
0219065;Strzegom - obszar wiejski (5);;;;;;;;;;;;2;0;4;3;;;;;;;;;;;;;20;19;16;11;;
0219072;Świdnica (2);;;;;;;;;;;;2;3;6;8;;;;;;;;;;;;;9;19;34;15;;
0219083;Żarów (3);;;;;;;;;;;;0;1;3;5;;;;;;;;;;;;;3;0;0;1;;
0219084;Żarów - miasto (4);;;;;;;;;;;;0;1;2;1;;;;;;;;;;;;;3;0;0;1;;
0219085;Żarów - obszar wiejski (5);;;;;;;;;;;;0;0;1;4;;;;;;;;;;;;;0;0;0;0;;
0220000;Powiat trzebnicki;16;29;43;27;34;49;18;22;24;18;0;15;29;38;36;;7;153;98;92;33;27;34;31;65;35;0;7;7;9;3;;
0220013;Oborniki Śląskie (3);;;;;;;;;;;;3;11;8;8;;;;;;;;;;;;;2;6;3;3;;
0220014;Oborniki Śląskie - miasto (4);;;;;;;;;;;;2;6;3;7;;;;;;;;;;;;;1;4;2;3;;
0220015;Oborniki Śląskie - obszar wiejski (5);;;;;;;;;;;;1;5;5;1;;;;;;;;;;;;;1;2;1;0;;
0220023;Prusice (3);;;;;;;;;;;;0;1;0;0;;;;;;;;;;;;;0;0;0;0;;
0220025;Prusice - obszar wiejski (5);;;;;;;;;;;;0;1;0;0;;;;;;;;;;;;;0;0;0;0;;
0220033;Trzebnica (3);;;;;;;;;;;;5;8;18;14;;;;;;;;;;;;;2;1;1;0;;
0220034;Trzebnica - miasto (4);;;;;;;;;;;;2;6;5;8;;;;;;;;;;;;;2;1;1;0;;
0220035;Trzebnica - obszar wiejski (5);;;;;;;;;;;;3;2;13;6;;;;;;;;;;;;;0;0;0;0;;
0220042;Wisznia Mała (2);;;;;;;;;;;;5;2;12;5;;;;;;;;;;;;;3;0;1;0;;
0220052;Zawonia (2);;;;;;;;;;;;0;3;0;2;;;;;;;;;;;;;0;0;0;0;;
0220063;Żmigród (3);;;;;;;;;;;;2;4;0;7;;;;;;;;;;;;;0;0;4;0;;
0220064;Żmigród - miasto (4);;;;;;;;;;;;2;3;0;1;;;;;;;;;;;;;0;0;3;0;;
0220065;Żmigród - obszar wiejski (5);;;;;;;;;;;;0;1;0;6;;;;;;;;;;;;;0;0;1;0;;
0221000;Powiat wałbrzyski;14;44;62;56;66;64;52;72;23;12;0;24;14;17;15;;128;256;241;266;197;192;166;200;117;82;0;15;14;25;15;;
0221011;Boguszów-Gorce (1);;;;;;;;;;;;2;1;1;2;;;;;;;;;;;;;8;10;0;2;;
